Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Kevin Kampl,Central Midfield,24,RB Salzburg,Austrian Bundesliga,Bor. Dortmund,1.Bundesliga,2014-2015,9000000,12000000
Keylor Navas,Goalkeeper,27,Levante UD,La Liga,Real Madrid,La Liga,2014-2015,10000000,10000000
Konstantinos Manolas,Centre-Back,23,Olympiacos,Super League Souroti,AS Roma,Serie A,2014-2015,6000000,13000000
Kyle Lafferty,Centre-Forward,26,US Palermo,Serie A,Norwich,English Championship,2014-2015,3000000,4500000
Kyle Naughton,Right-Back,26,Spurs,Premier League,Swansea,Premier League,2014-2015,5000000,6600000
Lazar Markovic,Right Winger,20,Benfica,Liga NOS,Liverpool,Premier League,2014-2015,10000000,25000000
Leonardo Ulloa,Centre-Forward,28,Brighton,English Championship,Leicester,Premier League,2014-2015,2000000,10100000
Leroy Fer,Central Midfield,24,Norwich,English Championship,QPR,Premier League,2014-2015,8500000,10000000
Loic Remy,Centre-Forward,27,QPR,Premier League,Chelsea,Premier League,2014-2015,12000000,13200000
Luca Marrone,Defensive Midfield,24,Sassuolo,Serie A,Juventus,Serie A,2014-2015,4500000,5000000
Lucas Mendes,Centre-Back,24,Marseille,Ligue 1,El-Jaish,Qatar Stars League,2014-2015,4000000,5000000
Lucas Silva,Central Midfield,21,Cruzeiro,Campeonato Brasileiro Serie A,Real Madrid,La Liga,2014-2015,12000000,13000000
Luciano Vietto,Centre-Forward,20,Racing Club,Argentine Primera Division,Villarreal CF,La Liga,2014-2015,8500000,5500000
Luis Suarez,Centre-Forward,27,Liverpool,Premier League,FC Barcelona,La Liga,2014-2015,52000000,81720000
Luke Shaw,Left-Back,18,Southampton,Premier League,Man Utd,Premier League,2014-2015,13000000,37500000
Luuk de Jong,Centre-Forward,23,Bor. M'gladbach,1.Bundesliga,PSV Eindhoven,Eredivisie,2014-2015,5000000,5500000
Majeed Waris,Centre-Forward,22,Spartak Moscow,Premier Liga,Trabzonspor,Super Lig,2014-2015,2500000,6900000
Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie A,SSC Napoli,Serie A,2014-2015,12000000,12500000
Manuel Lanzini,Attacking Midfield,21,River Plate,Argentine Primera Division,Al-Jazira,UAE Pro-League,2014-2015,6000000,7500000
Mapou Yanga-Mbiwa,Centre-Back,25,Newcastle,Premier League,AS Roma,Serie A,2014-2015,6000000,7350000
Marc-Andre ter Stegen,Goalkeeper,22,Bor. M'gladbach,1.Bundesliga,FC Barcelona,La Liga,2014-2015,20000000,12000000
Marco Benassi,Central Midfield,19,Inter,Serie A,Torino,Serie A,2014-2015,4000000,4800000
Marco Parolo,Central Midfield,29,Parma,Serie A,Lazio,Serie A,2014-2015,6000000,4500000
Marcos Rojo,Centre-Back,24,Sporting CP,Liga NOS,Man Utd,Premier League,2014-2015,12000000,20000000
Mario Balotelli,Centre-Forward,24,AC Milan,Serie A,Liverpool,Premier League,2014-2015,27000000,20000000
Mario Mandzukic,Left Winger,28,Bayern Munich ,1.Bundesliga,Atletico Madrid,La Liga,2014-2015,30000000,22000000
Marko Livaja,Centre-Forward,20,Atalanta,Serie A,Rubin Kazan,Premier Liga,2014-2015,5000000,6500000
Marlos,Right Winger,26,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2014-2015,7000000,8000000
Massimo Bruno,Attacking Midfield,20,RSC Anderlecht,Jupiler Pro League,RB Leipzig,2.Bundesliga,2014-2015,8000000,5000000
Mathieu Debuchy,Right-Back,28,Newcastle,Premier League,Arsenal,Premier League,2014-2015,10000000,15000000
Mathieu Valbuena,Left Winger,29,Marseille,Ligue 1,Dinamo Moscow,Premier Liga,2014-2015,14000000,7000000
Matthias Ginter,Centre-Back,20,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2014-2015,12000000,10000000
Maxime Lestienne,Left Winger,22,Club Brugge,Jupiler Pro League,Al Arabi,Qatar Stars League,2014-2015,10000000,7300000
Medhi Benatia,Centre-Back,27,AS Roma,Serie A,Bayern Munich ,1.Bundesliga,2014-2015,28000000,28000000
Michael Dawson,Centre-Back,30,Spurs,Premier League,Hull City,Premier League,2014-2015,6500000,4400000
